"ID.x";"latitude";"longitude";"study";"site";"SiteBlock";"replicate";"treatment.direction";"treatment.level";"grouping.x";"treat.duration.y";"duration_rescale";"size.local";"size.gamma";"N.replicates";"delta.P.year";"delta.P1_rescale";"MAP_chelsa";"MAP_rescale";"PET_rescale";"PET_chelsa";"LRR_cum.abs"
"Eskelinen_2015b.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Lushserp";"Lushserp - D";2;"incr.P";"1";"2014_Eskelinen_2015b;Lushserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.0865476626293615
"Eskelinen_2015b.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Lushserp";"Lushserp - D";3;"incr.P";"1";"2014_Eskelinen_2015b;Lushserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;1.05344802161398
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - A";1;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.52587313035716
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - A";2;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.0623578610433753
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - A";3;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;1.42493215382531
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - B";1;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.241696959209958
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - B";2;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.741559344346876
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - C";1;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.510496622282516
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - C";2;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;1.29157522283233
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - C";3;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;1.418075610988
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - D";1;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;0.593955385013445
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - D";2;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;1.17191087186627
"Eskelinen_2015c.csv";38.86666667;-122.4333333;"Eskelinen_2015";"Nonserp";"Nonserp - D";3;"incr.P";"1";"2014_Eskelinen_2015c;Nonserp;P;incr.P;1;2014;2";4;-0.224205384490227;1;"3";3;18;0.232039715778663;872;0.481355378277386;0.582965474394105;1156.962889;-0.664515367885618
"Fry_2014a.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - B";2;"decr.P";"1";"2010_2_Fry_2014a;Silwood.Park;P;decr.P;1;2010;2";2;-0.349380378386437;1;"4";4;7;0.0735298730094186;640;0.181310395938593;-0.0601997503138055;669.8182058;0.770820218878163
"Fry_2014a.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - C";3;"decr.P";"1";"2010_2_Fry_2014a;Silwood.Park;P;decr.P;1;2010;2";2;-0.349380378386437;1;"4";4;7;0.0735298730094186;640;0.181310395938593;-0.0601997503138055;669.8182058;0
"Fry_2014a.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - D";4;"decr.P";"1";"2010_2_Fry_2014a;Silwood.Park;P;decr.P;1;2010;2";2;-0.349380378386437;1;"4";4;7;0.0735298730094186;640;0.181310395938593;-0.0601997503138055;669.8182058;-0.730887508542792
"Fry_2014a.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - A";1;"decr.P";"1";"2010_2_Fry_2014a;Silwood.Park;P;decr.P;1;2010;2";2;-0.349380378386437;1;"4";4;7;0.0735298730094186;640;0.181310395938593;-0.0601997503138055;669.8182058;0.00711746776886413
"Fry_2014b.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - B";2;"decr.P";"2";"2010_2_Fry_2014b;Silwood.Park;P;decr.P;2;2010;2";2;-0.349380378386437;1;"4";4;-4;-0.084979969759826;640;0.181310395938593;-0.0601997503138055;669.8182058;0.143100843640673
"Fry_2014b.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - C";3;"decr.P";"2";"2010_2_Fry_2014b;Silwood.Park;P;decr.P;2;2010;2";2;-0.349380378386437;1;"4";4;-4;-0.084979969759826;640;0.181310395938593;-0.0601997503138055;669.8182058;0.466089729924599
"Fry_2014b.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - D";4;"decr.P";"2";"2010_2_Fry_2014b;Silwood.Park;P;decr.P;2;2010;2";2;-0.349380378386437;1;"4";4;-4;-0.084979969759826;640;0.181310395938593;-0.0601997503138055;669.8182058;-0.351397886837889
"Fry_2014b.csv";51.406371;-0.648648;"Fry_2014";"Silwood.Park";"Silwood.Park - A";1;"decr.P";"2";"2010_2_Fry_2014b;Silwood.Park;P;decr.P;2;2010;2";2;-0.349380378386437;1;"4";4;-4;-0.084979969759826;640;0.181310395938593;-0.0601997503138055;669.8182058;0.971860583028966
"Gilgen_2009a.csv";47.21027778;8.14389;"Gilgen_2009";"Chamau";"Chamau - A";1;"decr.P";"1";"2007_2_Gilgen_2009a;Chamau;P;decr.P;1;2007;2";2;-0.349380378386437;0.2;"1";5;33;0.448189501373088;1522;1.32199864776108;0.0573219485819834;758.831213;0.0464915527718119
"Gilgen_2009a.csv";47.21027778;8.14389;"Gilgen_2009";"Chamau";"Chamau - A";2;"decr.P";"1";"2007_2_Gilgen_2009a;Chamau;P;decr.P;1;2007;2";2;-0.349380378386437;0.2;"1";5;33;0.448189501373088;1522;1.32199864776108;0.0573219485819834;758.831213;0.191928245863677
"Gilgen_2009a.csv";47.21027778;8.14389;"Gilgen_2009";"Chamau";"Chamau - A";3;"decr.P";"1";"2007_2_Gilgen_2009a;Chamau;P;decr.P;1;2007;2";2;-0.349380378386437;0.2;"1";5;33;0.448189501373088;1522;1.32199864776108;0.0573219485819834;758.831213;0.183513288153773
"Gilgen_2009a.csv";47.21027778;8.14389;"Gilgen_2009";"Chamau";"Chamau - A";4;"decr.P";"1";"2007_2_Gilgen_2009a;Chamau;P;decr.P;1;2007;2";2;-0.349380378386437;0.2;"1";5;33;0.448189501373088;1522;1.32199864776108;0.0573219485819834;758.831213;0.146919629743039
